genres,release_date,price,item_id,developer
['Strategy'],2006-07-24,9.99,3980,"FireFly Studios,Firaxis Games"
['RPG'],2002-11-12,4.99,1700,Arkane Studios
"['Action', 'Adventure', 'RPG']",2000-11-17,9.99,6310,Funcom
['Strategy'],2006-07-24,4.99,3990,Firaxis Games
['Strategy'],2003-10-23,9.99,7610,PopTop
['Strategy'],2006-10-16,9.99,7600,"Firaxis Games,Feral Interactive (Mac)"
['Strategy'],1998-10-31,4.99,7620,PopTop
['Strategy'],1995-04-01,4.99,7650,"MicroProse Software, Inc"
"['Action', 'Adventure']",2007-06-05,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)"
['Action'],2006-05-23,19.99,6550,"CAPCOM Co., Ltd."
"['Action', 'Adventure']",2006-10-17,19.99,8200,Telltale Games
['Action'],1996-06-17,4.99,2290,id Software
"['Action', 'Adventure']",2006-12-20,19.99,8210,Telltale Games
['Action'],1995-04-30,4.99,2280,id Software
['Action'],1995-06-01,14.99,9160,id Software
['Action'],1994-05-05,4.99,2300,id Software
['Action'],1994-08-03,4.99,2270,id Software
['Action'],2001-11-20,4.99,9010,Gray Matter Studios
['Action'],1997-02-28,2.99,9040,Ritual Entertainment
['Action'],1993-10-10,2.99,9000,id Software
['Action'],2003-09-09,9.99,3810,Terminal Reality
['Action'],2007-08-03,2.99,9030,Rogue Entertainment
['Action'],2007-05-31,4.99,2310,id Software
['Strategy'],2007-03-20,4.99,3230,Metamorf
['Strategy'],2006-01-01,12.99,9310,Relic Entertainment
"['Action', 'RPG']",2007-08-21,19.99,7670,"2K Boston,2K Australia"
['Strategy'],2006-01-01,12.99,4570,Relic Entertainment
['Strategy'],2006-10-09,12.99,4580,Relic Entertainment
['Strategy'],2004-09-22,9.99,4760,The Creative Assembly
['Strategy'],2006-06-26,4.99,4770,The Creative Assembly
['Casual'],2007-12-14,6.99,50970,Big Fish Games
['Action'],2004-04-20,9.99,12130,Rockstar North
['Racing'],2003-07-01,9.99,12160,Rockstar San Diego
['Action'],2003-10-14,9.99,12150,Remedy Entertainment
"['Action', 'Adventure']",2006-04-07,6.99,7000,Crystal Dynamics
['Action'],2001-07-25,9.99,12140,Remedy Entertainment
['Strategy'],2008-10-28,19.99,17480,EA Los Angeles
['Casual'],2007-10-10,9.99,12500,Infinite Interactive
"['RPG', 'Casual', 'Adventure']",2007-10-23,9.99,12310,Momentum Digital Media Technologies
['Strategy'],2007-08-01,9.99,12510,"Gamebryo,Virtual Playground"
"['Action', 'Adventure', 'Strategy']",2007-09-01,9.99,12530,SCS Software
['Racing'],2007-12-03,9.99,12520,SCS Software
['Action'],2008-02-08,5.99,8100,Pivotal Games
['Action'],2007-05-08,7.99,2780,Bohemia Interactive
['Action'],2006-05-02,9.99,9710,Spellbound
"['Action', 'Adventure']",2007-10-16,4.99,9800,Haggard Games
['Action'],2006-05-30,2.99,9760,Eugen Systems
"['Simulation', 'Strategy']",2006-10-26,19.99,2700,"Frontier,Aspyr (Mac)"
['Action'],2005-03-14,2.99,2710,Eugen Systems
['Action'],2003-02-03,14.99,13200,"Epic Games, Inc."
['Action'],1998-04-30,9.99,13250,"Epic Games, Inc."
"['Casual', 'Indie']",2008-03-21,4.99,13000,Sanzaru Games
['Action'],2003-02-18,9.99,13560,Ubisoft
['Action'],2004-03-23,9.99,13520,Crytek Studios
['Action'],2000-10-25,9.99,13240,"Epic Games, Inc."
['Action'],2006-12-12,9.99,13540,Ubisoft Montreal
['Simulation'],2005-03-15,9.99,15210,Ubisoft
"['Casual', 'Simulation']",2008-05-28,9.99,16180,Last Day of Work
['Casual'],2008-06-04,4.99,3520,SpinTop Games
['Casual'],2008-06-10,9.99,15970,MumboJumbo
['Casual'],2008-06-10,9.99,15950,MumboJumbo
['Casual'],2008-06-10,9.99,15960,MumboJumbo
['Casual'],2008-06-10,9.99,15900,MumboJumbo
['Casual'],2005-12-08,9.99,15910,MumboJumbo
['Casual'],2007-11-13,9.99,15930,MumboJumbo
['Simulation'],2007-11-13,9.99,15160,Ubisoft
['Casual'],2005-12-08,9.99,15920,MumboJumbo
"['Action', 'Adventure']",2007-03-27,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier"
['Simulation'],2007-03-20,9.99,15200,Ubisoft Romania
['Simulation'],2006-12-15,9.99,15320,1C: Maddox Games
['Simulation'],2008-03-24,9.99,15240,Ubisoft Romania
['Adventure'],2005-09-15,9.99,8310,Telltale Games
['Racing'],2005-07-02,9.99,12600,"Merscom,Babylon"
['Adventure'],2006-04-12,9.99,8320,Telltale Games
['Racing'],2008-07-29,9.99,12590,BigAnt Studios
['Simulation'],2007-07-02,9.99,12560,Gabriel Entertainment
['Casual'],2007-08-08,9.99,12540,Zemnott
['Adventure'],2008-05-20,9.99,11050,Frogwares
"['Adventure', 'RPG']",2008-04-14,9.99,11040,Frogwares
"['Adventure', 'Indie']",2008-07-31,4.99,19500,"Luc Bernard,SilverSphereStudios"
"['Simulation', 'Strategy']",2007-05-25,7.99,11260,Lesta Studio
"['Action', 'Indie']",2008-08-21,4.99,19200,Dialogue Design
['Racing'],2008-08-19,19.99,12360,Bugbear Entertainment
['Adventure'],1998-11-17,2.99,15710,Oddworld Inhabitants
['Adventure'],1997-12-12,2.99,15700,Oddworld Inhabitants
['Racing'],2008-09-01,7.99,8660,SimBin
['Strategy'],2001-04-19,4.99,7770,"MicroProse Software, Inc"
['Strategy'],1997-07-15,4.99,7660,"MicroProse Software, Inc"
['Strategy'],1993-12-31,4.99,7760,"MicroProse Software, Inc"
"['Action', 'RPG']",2008-09-15,9.99,20510,GSC Game World
['Action'],2008-09-17,19.99,17330,Crytek
['Action'],2007-11-13,19.99,17300,Crytek
['Strategy'],1998-06-15,4.99,7730,"MicroProse Software, Inc"
"['Action', 'RPG']",2008-09-16,9.99,20900,CD PROJEKT RED
['Indie'],2008-09-19,9.99,1530,Introversion Software
['Racing'],2008-10-22,2.99,8690,SimBin
"['Strategy', 'Simulation']",2008-08-28,2.49,17120,"Tilted Mill Entertainment, Inc."
['Strategy'],2008-09-23,19.99,16810,Firaxis Games
['Action'],2003-03-18,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal"
"['Action', 'Adventure']",2008-09-29,19.99,21000,Traveller's Tales
"['Simulation', 'Strategy']",2008-07-18,9.99,4460,Monte Cristo
"['RPG', 'Strategy']",2008-09-30,9.99,17140,"Tilted Mill Entertainment, Inc."
['Action'],2008-10-08,9.99,15390,Gearbox Software
"['Indie', 'Casual']",2008-08-31,4.99,21300,Dark Castle Software
['Racing'],2006-12-01,4.99,3050,Techland
['Strategy'],2006-11-14,9.99,15380,Nival
['Action'],2005-10-04,9.99,19800,Gearbox Software
['Strategy'],2007-10-16,9.99,15370,Nival
['Strategy'],2008-04-18,19.99,19930,Blue Byte
['Casual'],2007-09-25,9.99,15350,Ubisoft
['Action'],2002-05-31,9.99,19810,Red Storm Entertainment
['Casual'],2008-10-15,4.99,3540,"PopCap Games, Inc."
['Indie'],2008-10-13,9.99,22000,2D BOY
"['Action', 'Simulation', 'Strategy']",2008-10-16,15.99,2820,Egosoft
['Action'],2008-10-17,Free,1230,Sandstorm Productions
"['Casual', 'Indie']",2008-10-20,4.99,18300,Shorebound Studios
"['Indie', 'Casual', 'Sports']",2008-10-21,19.99,20200,Perpetual FX Creative
"['Action', 'Adventure']",2008-10-21,14.99,12200,Rockstar New England
['Action'],2008-10-22,9.99,19900,Ubisoft Montreal
"['Action', 'Indie', 'Strategy']",2008-10-23,4.99,11240,Meridian4
['Simulation'],2009-01-01,4.99,256522,RailSimulator.com
['Simulation'],2009-01-01,4.99,275144,RailSimulator.com
['Simulation'],2009-01-01,4.99,256521,RailSimulator.com
['Simulation'],2009-01-01,4.99,222569,Reppo
['Simulation'],2009-01-01,4.99,256535,RailSimulator.com
['Simulation'],2009-01-01,4.99,256611,Dovetail Games
['Simulation'],2009-01-01,4.99,256576,Dovetail Games
['Action'],2009-01-28,9.99,9480,Volition
['Action'],2008-10-20,19.99,17470,EA Redwood Shores
['RPG'],2008-12-16,9.99,12770,Liquid Entertainment
"['Action', 'Adventure']",2009-01-13,19.99,17410,DICE
"['Indie', 'Strategy']",2008-12-08,9.99,18500,Hidden Path Entertainment
['Action'],2009-02-12,14.99,16450,Monolith
"['Strategy', 'Indie']",2008-03-05,7.99,15400,Oxeye Game Studio
"['Indie', 'Strategy']",2007-07-04,9.99,18600,Inventive Dingo
"['Action', 'Indie']",2009-03-19,4.99,11340,Meridian4
['Strategy'],2005-05-10,9.99,25830,Black Sea Studios Ltd
"['Action', 'Adventure', 'Strategy']",2009-02-27,5.99,23460,Realmforge Studios
['Strategy'],2009-03-04,2.99,10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
['Action'],2009-03-04,4.99,21010,Deadline Games
"['Action', 'Adventure', 'Indie']",2007-03-30,9.99,22180,Frictional Games
['Action'],2007-11-19,19.99,13210,"Epic Games, Inc."
['RPG'],2009-02-27,9.99,12640,Radon Labs
"['Indie', 'Simulation']",2008-03-21,4.99,27020,Tale of Tales
['Racing'],2009-02-03,19.99,24740,Criterion Games
"['Action', 'Indie']",2009-03-09,9.99,26000,Twisted Pixel Games
"['Action', 'Indie']",2009-03-16,1.25,26006,Twisted Pixel Games
"['Action', 'Indie']",2009-03-16,1.25,26005,Twisted Pixel Games
"['Casual', 'Indie']",2009-03-19,4.99,11330,IonFX
['Indie'],2009-03-19,9.99,27800,Llamasoft LTD
"['Simulation', 'Strategy']",2009-03-10,14.99,9850,"InnoGlow,Stormregion,THQ Nordic"
['Casual'],2009-04-15,4.99,3600,SpinTop Games
"['RPG', 'Massively Multiplayer']",2006-10-27,19.99,29580,Arenullet®
"['RPG', 'Massively Multiplayer']",2005-04-28,19.99,29540,Arenullet®
"['RPG', 'Massively Multiplayer']",2006-04-28,19.99,29560,Arenullet®
"['Massively Multiplayer', 'RPG']",2008-09-25,29.99,29570,Arenullet®
['Casual'],2009-04-16,14.99,23700,Infinite Interactive
['Casual'],2009-04-29,9.99,16060,MumboJumbo
['RPG'],2009-04-30,9.99,1930,Reality Pump Studios
['Strategy'],2009-04-30,9.99,18470,Spellbound
"['Action', 'Adventure', 'RPG']",2009-02-10,9.99,7510,Gaijin Entertainment
"['Action', 'Indie']",2009-04-21,9.99,22200,ACE Team
['Indie'],2009-04-29,1.25,26007,Twisted Pixel Games
"['RPG', 'Strategy']",2008-09-23,6.99,25900,1C Company
"['Casual', 'Simulation']",2009-05-06,9.99,16200,Last Day of Work
['Racing'],2009-05-06,2.99,7840,Sky Fallen
"['RPG', 'Strategy']",2005-03-08,4.99,8890,Irrational Games
"['RPG', 'Strategy']",2002-03-26,4.99,8880,Irrational Games
"['Indie', 'Simulation', 'Strategy']",2009-06-04,14.99,34500,SaintXi
"['Action', 'Simulation']",2009-06-09,Free,1280,Darklight Games
"['Action', 'Adventure']",2009-06-10,19.99,10150,Radical Entertainment
"['Adventure', 'Indie']",Jun 2009,4.99,29160,Erik Svedäng
['Strategy'],2004-04-30,4.99,12470,Ascaron Entertainment ltd.
['RPG'],2007-09-11,14.99,22330,Bethesda Game Studios
['RPG'],2002-04-29,14.99,22320,Bethesda Game Studios
['Adventure'],2007-05-18,4.99,12440,Deck 13
['Simulation'],1999-09-01,9.99,32710,NovaLogic
['Simulation'],1998-09-07,9.99,32740,NovaLogic
['Strategy'],2008-09-15,4.99,12460,Mascot Entertainment
['Action'],2009-06-30,9.99,21980,Techland
['Adventure'],2007-10-01,6.99,31860,HeR Interactive
['Adventure'],2006-10-01,6.99,31900,HeR Interactive
['Adventure'],2008-07-01,6.99,31920,HeR Interactive
['Adventure'],2007-07-01,6.99,31930,HeR Interactive
"['Casual', 'Indie']",2008-12-24,Free to Play,35800,Digital Eel
['Adventure'],2009-07-07,19.99,31170,Telltale Games
['Action'],2009-07-07,19.99,21660,Capcom
"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",2007-10-09,9.99,6080,Frontier
['Adventure'],1992-06-01,5.99,6010,LucasArts
['Action'],2003-12-02,5.99,6090,Planet Moon Studios
['Action'],2005-11-01,9.99,6060,Pandemic Studios
['Adventure'],1989-07-01,5.99,32310,LucasArts
"['Action', 'Adventure']",2008-06-03,19.99,32330,Traveller's Tales
['Adventure'],2009-07-15,9.99,32360,LucasArts
['Strategy'],2008-11-20,12.99,35300,GFI Russia
"['Action', 'Racing']",2009-06-02,9.99,35310,Targem Games
['Adventure'],2009-07-21,6.99,31980,HeR Interactive
['Sports'],2006-12-20,9.99,10140,Wanako Games
['Adventure'],2006-09-01,19.99,10100,Sierra
['Action'],2007-10-30,19.99,10130,Saber Interactive
['Adventure'],2006-09-01,19.99,10110,Sierra
['Action'],2009-07-24,7.99,1256,Tripwire Interactive
"['Action', 'Casual']",2008-06-04,9.99,10120,Artech Studios
"['Simulation', 'Strategy']",2009-07-24,6.99,33520,"PopTop Software,BreakAway Games,Frog City Software"
['Casual'],2009-07-27,4.99,3610,SpinTop Games
['Action'],2008-08-14,9.99,21680,Capcom
"['Action', 'Adventure']",2009-07-28,9.99,21670,Capcom
['Action'],2009-07-29,4.99,21030,Deadline Games
"['Action', 'Indie']",2009-08-04,4.99,36000,Sakari Indie
"['Adventure', 'RPG']",2003-11-19,9.99,32370,"BioWare,Aspyr (Mac)"
"['Indie', 'Casual']",2009-08-18,9.99,29180,Hemisphere Games
['RPG'],1998-12-01,9.99,38410,Black Isle Studios
['Strategy'],2001-03-01,9.99,38420,14° East
['Action'],1999-06-01,9.99,38430,Xatrix Entertainment
['Adventure'],2009-08-20,19.99,31180,Telltale Games
['Casual'],2009-08-24,19.99,37960,iWin
['Casual'],2009-08-24,9.99,38000,iWin
"['Adventure', 'Indie']",2009-06-22,4.99,37400,Size Five Games
['Action'],2005-03-29,9.99,13570,Ubisoft Montreal
['Strategy'],2009-08-28,4.99,34420,Unicorn Games Studio
['Simulation'],2009-10-30,14.99,43100,Blue Fang
"['Action', 'Adventure']",2009-09-08,9.99,35000,IO Interactive
"['Adventure', 'Casual', 'Indie']",2009-05-26,2.99,37600,"Vectorpark, Inc."
['Simulation'],2009-09-25,24.99,24029,All Aboard
"['Adventure', 'Casual']",2009-09-28,9.99,32140,MumboJumbo
['Adventure'],2009-09-07,19.99,31190,Telltale Games
['Action'],2009-08-18,19.99,32770,NovaLogic
['Simulation'],2009-10-01,17.99,208306,Dovetail Games
['Simulation'],2009-09-30,9.99,37300,PlayFirst
['Simulation'],2009-10-01,19.99,208300,Dovetail Games
['RPG'],2009-10-30,9.99,40300,Piranha Bytes
['Casual'],2009-10-01,3.99,35070,Honeyslug
['Strategy'],2009-10-05,9.99,10606,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
"['Adventure', 'Indie']",2009-10-16,9.99,40700,Amanita Design
['Action'],2007-09-04,9.99,24840,EA Los Angeles
['Racing'],2009-09-15,19.99,24870,Slightly Mad Studios
['RPG'],2009-10-27,14.99,41500,Runic Games
['Strategy'],2009-03-12,19.99,24800,EA Los Angeles
['Strategy'],2009-10-27,19.99,901735,FireFly Studios
['Strategy'],2009-10-27,4.99,42800,Nitro Games
['Action'],2009-10-27,9.99,39560,Homegrown Games
"['RPG', 'Strategy']",2009-10-29,14.99,39550,"Phenomic,THQ Nordic"
['Adventure'],2009-10-29,9.99,40330,Animation Arts
['Strategy'],2009-10-29,4.99,40320,Stormregion
['Adventure'],2009-10-07,19.99,31200,Telltale Games
['Strategy'],2009-11-01,4.99,3130,1C Company
"['Action', 'Indie']",2009-09-19,4.99,41100,Konstantin Koshutin
"['Action', 'RPG']",2009-11-03,9.99,39540,Phenomic
['Strategy'],2005-03-03,9.99,34640,Wargaming.net
['Strategy'],2003-10-28,9.99,34630,Wargaming.net
"['Action', 'Indie']",2009-11-24,14.99,41000,Croteam
['Adventure'],2009-10-29,9.99,40340,Animation Arts
['RPG'],2009-11-06,19.99,17450,BioWare
"['Action', 'RPG', 'Indie']",2009-05-07,4.99,37100,Citeremis Inc.
"['Indie', 'Casual']",2009-11-05,1.99,37500,Yullaby
['Strategy'],2009-11-11,9.99,42810,Crystal Empire Games
['Action'],2009-11-12,19.99,10180,"Infinity Ward,Aspyr (Mac)"
['Adventure'],2009-11-12,19.99,32440,"Traveller's Tales,Feral Interactive (Mac)"
['RPG'],2007-06-26,4.99,11450,"Triumph Studios,Virtual Programming"
['RPG'],2008-02-15,9.99,12710,"Triumph Studios,Virtual Programming"
['Strategy'],2007-03-28,14.99,24790,EA Los Angeles
"['Indie', 'Casual']",2008-07-23,4.99,29120,KranX Productions
['Strategy'],2009-11-13,19.99,24810,EA Los Angeles
"['Indie', 'Simulation', 'Strategy']",2009-11-16,14.99,41800,Positech Games
['Simulation'],2009-12-25,9.99,45300,Gaijin Entertainment
"['Action', 'Adventure', 'RPG']",2005-06-17,9.99,41900,inXile Entertainment
['Action'],2009-10-22,Free,35420,Defence Alliance Team
['Action'],2009-11-03,19.99,32430,"LucasArts,Aspyr Studios"
['RPG'],2009-10-13,19.99,22370,Bethesda Game Studios
"['Strategy', 'Indie', 'Simulation']",2009-12-16,5.99,41802,Positech Games
['Simulation'],2007-10-02,9.99,38080,Hip Soft
['Simulation'],2008-04-29,9.99,38090,Hip Soft
['Simulation'],2009-01-24,9.99,38100,Hip Soft
"['Casual', 'Simulation']",2009-12-17,9.99,38070,iWin
['Casual'],2009-12-17,1.99,38210,Spidermonk Entertainment
"['Action', 'Adventure']",2008-07-08,19.99,45700,Capcom
"['Action', 'Indie', 'RPG']",2010-03-17,9.99,46410,ClockStone Studios
['Simulation'],2009-08-12,9.99,38110,Hip Soft
"['Action', 'Free to Play', 'Indie']",2010-02-12,Free,17570,Octoshark Studios
['Casual'],2008-08-27,4.99,38130,Alawar
['Casual'],2010-01-06,9.99,38160,Alawar
['Casual'],2009-09-11,9.99,38150,Alawar
['Casual'],2007-12-07,4.99,38120,Alawar
['Casual'],2009-02-18,4.99,38140,Alawar
['Casual'],2010-02-16,6.99,36300,Sandlot Games
"['Strategy', 'Casual']",2010-02-16,6.99,36310,Sandlot Games
"['Adventure', 'Casual']",2010-02-16,6.99,36320,Cateia Games
['Strategy'],2010-02-17,9.99,37030,Chaos Concept
['Adventure'],2010-02-18,19.99,32450,Traveller's Tales
"['Action', 'Indie', 'Racing']",2010-02-18,4.99,44100,New Star Games Ltd
['Strategy'],2010-02-18,0.99,25960,Paradox Interactive
['Action'],2010-02-19,6.99,46250,The Farm 51
['Casual'],2007-12-01,9.99,38180,Awem Studio
['Action'],2010-03-18,7.49,10695,Rebellion
"['Action', 'Indie']",2001-03-21,9.99,41050,Croteam
['Simulation'],2010-03-19,19.99,24055,All Aboard
"['Action', 'RPG']",2010-03-31,19.99,48700,TaleWorlds Entertainment
['Action'],2010-03-26,4.99,39900,ZoopTEK
"['Action', 'Indie']",2010-04-05,4.99,49900,Beatnik Games
['Action'],2010-04-08,9.99,42120,Fatshark
['Action'],2010-04-12,19.99,12220,Rockstar North / Toronto
"['Action', 'Adventure']",2010-04-12,4.99,45730,Other Ocean Interactive
['Indie'],2010-04-14,0.99,45400,Nemesys Games
"['Action', 'Casual', 'Indie']",2010-04-15,9.99,49600,Cold Beam Games
['Adventure'],2010-04-15,19.99,901399,Telltale Games
"['Simulation', 'Strategy']",2010-04-19,9.99,43500,Realmforge Studios
['Simulation'],2010-04-19,4.99,45302,Gaijin Entertainment
"['Adventure', 'Indie']",2010-04-20,4.99,40930,The Odd Gentlemen
['Action'],2003-08-19,4.99,39640,THQ Nordic
['Action'],2001-11-30,4.99,39630,THQ Nordic
"['Casual', 'Indie']",2010-04-20,1.99,23150,Red Chain Games Ltd.
['Casual'],2006-07-19,9.99,50940,Big Fish Games
"['Casual', 'Indie']",2008-06-19,9.99,50920,Big Fish Games
['Strategy'],2010-05-05,2.99,34178,"The Creative Assembly,Feral Interactive (Mac)"
['Casual'],2008-12-31,6.99,37340,Sarbakan
['Casual'],2009-09-24,6.99,37390,PlayFirst
['Casual'],2009-07-27,6.99,37310,Absolutist Ltd.
['Casual'],2009-12-24,6.99,49000,PlayFirst
['Casual'],2010-03-19,6.99,37330,PlayFirst
['Casual'],2008-02-11,6.99,37320,PlayFirst
['Casual'],2007-12-31,6.99,37370,PlayFirst
['Casual'],2009-12-21,6.99,37380,PlayFirst
"['Action', 'Adventure', 'Casual']",2010-05-07,9.99,19080,G5 Entertainment
"['Action', 'Adventure']",2010-05-11,14.99,19030,Climax Studios
"['Action', 'Indie']",2010-05-12,4.99,49800,Muse Games
['Casual'],2010-05-28,4.99,33650,Ideas Pad
"['Action', 'Adventure']",2010-06-08,19.99,901478,Ubisoft
"['Casual', 'Indie']",2010-05-28,4.99,33660,Kokakiki
['Action'],2010-06-01,2.99,34281,SEGA
['Action'],2010-06-01,2.99,34272,SEGA
"['Action', 'Adventure', 'Casual', 'RPG']",2010-06-01,61.99,34270,D3T Limited
['Action'],2010-06-01,2.99,34276,SEGA
['Action'],2010-06-01,2.99,34274,SEGA
['Strategy'],2010-06-01,2.99,34275,SEGA
['Action'],2010-06-01,2.99,34277,SEGA
['Action'],2010-06-01,2.99,34273,SEGA
['Action'],2010-06-01,2.99,34280,SEGA
['Action'],2010-06-01,2.99,34282,SEGA
['Action'],2010-06-01,2.99,34279,SEGA
"['Action', 'RPG']",2010-06-01,14.99,34010,Obsidian Entertainment
['Action'],2010-06-03,9.99,22610,Team17 Software Ltd.
['RPG'],2010-07-16,4.99,22440,Bethesda Game Studios
"['Strategy', 'Indie']",2010-06-02,0.99,18508,Hidden Path Entertainment
['RPG'],2010-07-16,4.99,22430,Bethesda Game Studios
['RPG'],2010-07-16,4.99,22410,Bethesda Game Studios
['RPG'],2010-07-16,4.99,22420,Bethesda Game Studios
['Action'],2010-07-19,Free,630,Valve
['RPG'],2010-07-16,4.99,22400,Bethesda Game Studios
"['Simulation', 'Strategy']",2003-09-22,19.99,24780,"EA - Maxis,Aspyr (Mac)"
"['Strategy', 'RPG']",2010-07-16,14.99,33670,"Akella,.dat"
"['Casual', 'Indie']",2010-07-16,4.99,40420,"Arcen Games, LLC"
"['Action', 'Casual', 'Indie']",2010-07-19,9.99,34920,Invent4 Entertainment
['Strategy'],2010-07-21,3.99,48136,Blue Byte
['RPG'],2008-12-08,9.99,46720,Dagger Games
['Action'],2010-08-17,9.99,28000,IO Interactive
"['Simulation', 'Strategy']",2010-07-28,9.99,39680,Rune Forge
['Strategy'],2010-07-26,0.99,25962,Paradox Interactive
['Simulation'],2010-08-06,19.99,24634,N3V Games
['Strategy'],2010-08-06,4.99,63900,Ino-Co
['Action'],2011-03-22,29.99,50130,"2K Czech,Feral Interactive (Mac)"
['Simulation'],2010-08-06,4.99,24075,Dovetail Games
"['RPG', 'Casual']",2010-08-12,9.99,47540,Infinite Interactive
['Action'],2010-08-12,9.99,50510,doublesix
['Indie'],2010-08-16,1.99,25760,Playbrains
['Indie'],2010-08-16,1.99,25763,Playbrains
['Indie'],2010-08-16,1.99,25762,Playbrains
['Indie'],2010-08-16,2.99,25764,Playbrains
['Strategy'],2010-08-20,9.99,42980,Paradox Development Studio
['Simulation'],2010-08-27,19.99,48800,VStep
['Strategy'],2010-08-26,19.99,22600,Team17 Digital Ltd
"['Indie', 'Simulation', 'Strategy']",2010-06-22,14.99,46770,Muzzy Lane Software
"['Action', 'Simulation', 'Strategy']",2010-08-27,8.99,65700,Bohemia Interactive
['Strategy'],2010-08-30,19.99,42960,Paradox Development Studio
['Indie'],2010-08-16,1.99,25761,Playbrains
['Action'],2010-08-31,5.99,28010,IO Interactive
['Action'],2010-08-31,1.99,28012,IO Interactive
['Simulation'],2010-09-01,19.99,24640,N3V Games
['Action'],2010-08-31,2.99,28011,IO Interactive
['Strategy'],2002-11-01,4.99,4850,GSC Game World
['Adventure'],2010-09-02,5.99,57640,Revolution Software Ltd
['Casual'],2010-09-06,4.99,62100,Zoë Mode
['Action'],2010-09-06,9.99,50145,"2K Czech,Feral Interactive (Mac)"
['Action'],2010-09-08,1.99,34841,City Interactive
"['Action', 'Indie']",2010-09-07,4.99,70300,Terry Cavanagh
